馬名,小系統,国系統,
Tiznow,マッチェム系,米国型（その他）,
タワーオブロンドン,ミスプロ系,欧州型ミスプロ系,
マクフィ,ミスプロ系,欧州型ミスプロ系,
マイネルラヴ,ミスプロ系,欧州型ミスプロ系,
Dubawi,ミスプロ系,欧州型ミスプロ系,
ストーミングホーム,ミスプロ系,欧州型ミスプロ系,
Candy Ride,ミスプロ系,米国型ミスプロ系,
ニューイヤーズデイ,ミスプロ系,米国型ミスプロ系,
American Pharoah,ミスプロ系,米国型ミスプロ系,
Gun Runner,ミスプロ系,米国型ミスプロ系,
フォーウィールドライブ,ミスプロ系,米国型ミスプロ系,
Harlington,ミスプロ系,米国型ミスプロ系,
Mr. Greeley,ミスプロ系,米国型ミスプロ系,
ダンカーク,ミスプロ系,米国型ミスプロ系,
Smart Strike,ミスプロ系,米国型ミスプロ系,
Street Cry,ミスプロ系,米国型ミスプロ系,
エンパイアメーカー,ミスプロ系,米国型ミスプロ系,
アグネスデジタル,ミスプロ系,米国型ミスプロ系,
Twirling Candy,ミスプロ系,米国型ミスプロ系,
Unbridled's Song,ミスプロ系,米国型ミスプロ系,
Zensational,ミスプロ系,米国型ミスプロ系,
アフリート,ミスプロ系,米国型ミスプロ系,
Curlin,ミスプロ系,米国型ミスプロ系,
ストリートセンス,ミスプロ系,米国型ミスプロ系,
ウォーエンブレム,ミスプロ系,米国型ミスプロ系,
パレスマリス,ミスプロ系,米国型ミスプロ系,
ケイムホーム,ミスプロ系,米国型ミスプロ系,
ヴァンゴッホ,ミスプロ系,欧州型ミスプロ系,
テーオーヘリオス,ミスプロ系,米国型ミスプロ系,
フィレンツェファイア,ミスプロ系,米国型ミスプロ系,
ベンバトル,ミスプロ系,欧州型ミスプロ系,
マテラスカイ,ミスプロ系,米国型ミスプロ系,
シスキン,ミスプロ系,欧州型ミスプロ系,
コパノチャーリー,ミスプロ系,米国型ミスプロ系,
キングヘイロー,リファール系,欧州型ノーザンダンサー系,
バゴ,レッドゴッド系,欧州型ナスルーラ系,
アニマルキングダム,レッドゴッド系,米国型ナスルーラ系,
エピファネイア,ロベルト系,欧州型（その他）,
モーリス,ロベルト系,欧州型（その他）,
ルヴァンスレーヴ,ロベルト系,欧州型（その他）,
スクリーンヒーロー,ロベルト系,欧州型（その他）,
Dynaformer,ロベルト系,欧州型（その他）,
ゴールドアクター,ロベルト系,欧州型（その他）,
シンボリクリスエス,ロベルト系,欧州型（その他）,
ブライアンズタイム,ロベルト系,欧州型（その他）,
タニノギムレット,ロベルト系,欧州型（その他）,
ナダル,ロベルト系,欧州型（その他）,
グラスワンダー,ロベルト系,欧州型（その他）,
サンライズソア,ロベルト系,欧州型（その他）,
ストロングリターン,ロベルト系,欧州型ミスプロ系,
ワイルドラッシュ,二アークティック系,米国型（その他）,
メイショウボーラー,ヘイロー系,米国型（その他）,↓ここから新規追加
メイショウサムソン,サドラーズウェルズ系,欧州型ノーザンダンサー系,
ホワイトマズル,リファール系,欧州型ノーザンダンサー系,
Kingmambo,キングマンボ系,欧州型ミスプロ系,
トゥザグローリー,キングマンボ系,欧州型ミスプロ系,
スマートファルコン,Dサンデー系,日本型サンデー系,
フリオーソ,ロベルト系,欧州型（その他）,
ダノンシャンティ,Pサンデー系,日本型サンデー系,
リーチザクラウン,Lサンデー系,日本型サンデー系,
フェノーメノ,Lサンデー系,日本型サンデー系,
モンテロッソ,ミスプロ系,欧州型ミスプロ系,
スピルバーグ,ディープ系,日本型サンデー系,
ベルシャザール,キングマンボ系,欧州型ミスプロ系,
キングズベスト,キングマンボ系,欧州型ミスプロ系,
ティンバーカントリー,ミスプロ系,米国型ミスプロ系,
エスケンデレヤ,ストームバード系,米国型ノーザンダンサー系,
バトルプラン,ミスプロ系,米国型ミスプロ系,
デュランダル,Pサンデー系,日本型サンデー系,
トランセンド,二アークティック系,米国型（その他）,
ローエングリン,サドラーズウェルズ系,欧州型ノーザンダンサー系,
フォーティナイナー,フォーティーナイナー系,米国型ミスプロ系,
オペラハウス,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Fusaichi Pegasus,ミスプロ系,米国型ミスプロ系,
ビーチパトロール,キングマンボ系,米国型ミスプロ系,
カジノドライヴ,エーピーインディ系,米国型ナスルーラ系,
マーベラスサンデー,Lサンデー系,日本型サンデー系,
トーセンジョーダン,グレイソヴリン系,米国型ナスルーラ系,
ロックオブジブラルタル,ダンチヒ系,欧州型ノーザンダンサー系,
バブルガムフェロー,Dサンデー系,日本型サンデー系,
アドマイヤマックス,Pサンデー系,日本型サンデー系,
エルコンドルパサー,キングマンボ系,欧州型ミスプロ系,
フサイチコンコルド,ニジンスキー系,欧州型ノーザンダンサー系,
トーセンホマレボシ,ディープ系,日本型サンデー系,
クリエイター2,エーピーインディ系,米国型ナスルーラ系,
トワイニング,フォーティーナイナー系,米国型ミスプロ系,
エンドスウィープ,フォーティーナイナー系,米国型ミスプロ系,
トニービン,グレイソヴリン系,米国型ナスルーラ系,
キャプテンスティーヴ,ダマスカス系,米国型（その他）,
コロナドズクエスト,フォーティーナイナー系,米国型ミスプロ系,
マヤノトップガン,ロベルト系,欧州型（その他）,
デヒア,ヴァイスリージェント系,米国型ノーザンダンサー系,
アドマイヤコジーン,グレイソヴリン系,欧州型ナスルーラ系,
ケープブランコ,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Pivotal,ヌレイエフ系,欧州型ノーザンダンサー系,
スズカマンボ,Dサンデー系,日本型サンデー系,
Seeking the Gold,ミスプロ系,米国型ミスプロ系,
コマンダーインチーフ,リファール系,欧州型ノーザンダンサー系,
サムライハート,Lサンデー系,日本型サンデー系,
Gone West,ミスプロ系,米国型ミスプロ系,
アポロキングダム,キングマンボ系,米国型ミスプロ系,
Dansili,ダンチヒ系,欧州型ノーザンダンサー系,
Elusive Quality,ミスプロ系,米国型ミスプロ系,
Invincible Spirit,ダンチヒ系,欧州型ノーザンダンサー系,
Ghostzapper,ヴァイスリージェント系,米国型ノーザンダンサー系,
ファンタスティックライト,レッドゴッド系,欧州型ナスルーラ系,
エリシオ,ノーザンダンサー系,欧州型ノーザンダンサー系,
ストラヴィンスキー,ヌレイエフ系,欧州型ノーザンダンサー系,
パラダイスクリーク,ネヴァーベンド系,欧州型ナスルーラ系,
トウカイテイオー,マイバブー系,欧州型（その他）,
ゴールドヘイロー,Dサンデー系,日本型サンデー系,
A.P. Indy,エーピーインディ系,米国型ナスルーラ系,
コマンズ,ダンチヒ系,欧州型ノーザンダンサー系,
Sadler's Wells,サドラーズウェルズ系,欧州型ノーザンダンサー系,
ローズキングダム,キングマンボ系,欧州型ミスプロ系,
ヘクタープロテクター,ミスプロ系,欧州型ミスプロ系,
カネヒキリ,Dサンデー系,日本型サンデー系,
ショウナンカンプ,プリンスリーギフト系,欧州型ナスルーラ系,
スターリングローズ,ミスプロ系,米国型ミスプロ系,
Speightstown,ミスプロ系,米国型ミスプロ系,
コンデュイット,ネヴァーベンド系,欧州型ナスルーラ系,
リンカーン,Lサンデー系,日本型サンデー系,
スニッツェル,ダンチヒ系,欧州型ノーザンダンサー系,
スタチューオブリバティ,ストームバード系,米国型ノーザンダンサー系,
アンライバルド,Lサンデー系,日本型サンデー系,
ナカヤマフェスタ,Lサンデー系,日本型サンデー系,
Rock of Gibraltar,ダンチヒ系,欧州型ノーザンダンサー系,
ミッキーロケット,キングマンボ系,欧州型ミスプロ系,
タイムパラドックス,ロベルト系,欧州型（その他）,
パドトロワ,フォーティーナイナー系,米国型ミスプロ系,
トビーズコーナー,ダンチヒ系,米国型ノーザンダンサー系,
カリズマティック,ストームバード系,米国型ノーザンダンサー系,
アルデバラン2,ミスプロ系,米国型ミスプロ系,
Empire Maker,ミスプロ系,米国型ミスプロ系,
オレハマッテルゼ,Pサンデー系,日本型サンデー系,
Street Sense,ミスプロ系,米国型ミスプロ系,
ベストウォーリア,エーピーインディ系,米国型ナスルーラ系,
Sea The Stars,ダンチヒ系,欧州型ノーザンダンサー系,
メジロマックイーン,マイバブー系,欧州型（その他）,
New Approach,サドラーズウェルズ系,欧州型ノーザンダンサー系,
City Zip,ミスプロ系,米国型ミスプロ系,
Vindication,ボールドルーラー系,米国型ナスルーラ系,
ノボジャック,ヴァイスリージェント系,米国型ノーザンダンサー系,
Malibu Moon,エーピーインディ系,米国型ナスルーラ系,
Montjeu,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Pulpit,エーピーインディ系,米国型ナスルーラ系,
Redoute's Choice,ダンチヒ系,欧州型ノーザンダンサー系,
アジュディケーティング,ダンチヒ系,米国型ノーザンダンサー系,
ハードスパン,ダンチヒ系,米国型ノーザンダンサー系,
ジェイドロバリー,ミスプロ系,欧州型ミスプロ系,
チーフベアハート,ダンチヒ系,米国型ノーザンダンサー系,
Rahy,レッドゴッド系,米国型ナスルーラ系,
ダンシングブレーヴ,リファール系,欧州型ノーザンダンサー系,
メイショウオウドウ,Lサンデー系,日本型サンデー系,
ブラックホーク,ヌレイエフ系,欧州型ノーザンダンサー系,
Le Havre,レッドゴッド系,欧州型ナスルーラ系,
アドマイヤジャパン,Lサンデー系,日本型サンデー系,
Uncle Mo,グレイソヴリン系,米国型ナスルーラ系,
Teofilo,サドラーズウェルズ系,欧州型ノーザンダンサー系,
サクラプレジデント,Lサンデー系,日本型サンデー系,
Sinndar,ダンチヒ系,欧州型ノーザンダンサー系,
Harlan's Holiday,ストームバード系,米国型ノーザンダンサー系,
Danehill,ダンチヒ系,欧州型ノーザンダンサー系,
Tale of the Cat,ストームバード系,米国型ノーザンダンサー系,
メジロベイリー,Lサンデー系,日本型サンデー系,
Awesome Again,ヴァイスリージェント系,米国型ノーザンダンサー系,
Cozzene,グレイソヴリン系,欧州型ナスルーラ系,
メジロライアン,ノーザンテースト系,欧州型ノーザンダンサー系,
アサティス,ノーザンダンサー系,欧州型ノーザンダンサー系,
アッミラーレ,Dサンデー系,日本型サンデー系,
Exceed And Excel,ダンチヒ系,欧州型ノーザンダンサー系,
ラムタラ,ニジンスキー系,欧州型ノーザンダンサー系,
Medicean,ミスプロ系,欧州型ミスプロ系,
Raven's Pass,ミスプロ系,欧州型ミスプロ系,
サクラローレル,レッドゴッド系,欧州型ナスルーラ系,
ダノンシャーク,ディープ系,日本型サンデー系,
トーホウジャッカル,Lサンデー系,日本型サンデー系,
Oasis Dream,ダンチヒ系,欧州型ノーザンダンサー系,
Lemon Drop Kid,キングマンボ系,米国型ミスプロ系,
ロジユニヴァース,Lサンデー系,日本型サンデー系,
Bluegrass Cat,ストームバード系,米国型ノーザンダンサー系,
アルカセット,キングマンボ系,欧州型ミスプロ系,
Exchange Rate,ダンチヒ系,米国型ノーザンダンサー系,
レッドスパーダ,ヘイロー系,米国型（その他）,
スピニングワールド,ヌレイエフ系,欧州型ノーザンダンサー系,
ジェニュイン,Lサンデー系,日本型サンデー系,
Dark Angel,ノーザンダンサー系,欧州型ノーザンダンサー系,
オンファイア,Dサンデー系,日本型サンデー系,
Siyouni,ヌレイエフ系,欧州型ノーザンダンサー系,
スズカフェニックス,Pサンデー系,日本型サンデー系,
Indian Charlie,グレイソヴリン系,米国型ナスルーラ系,
Broken Vow,ミスプロ系,米国型ミスプロ系,
Red Ransom,ロベルト系,欧州型（その他）,
ホークビル,サドラーズウェルズ系,欧州型ノーザンダンサー系,
ノーブルミッション,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Pure Prize,ストームバード系,米国型ノーザンダンサー系,
スパイキュール,Dサンデー系,日本型サンデー系,
Orpen,ダンチヒ系,欧州型ノーザンダンサー系,
Fastnet Rock,ダンチヒ系,欧州型ノーザンダンサー系,
アスカクリチャン,ミスプロ系,米国型ミスプロ系,
タバスコキャット,ストームバード系,米国型ノーザンダンサー系,
ハクサンムーン,フォーティーナイナー系,欧州型ミスプロ系,
ジェネラス,ニジンスキー系,欧州型ノーザンダンサー系,
Quality Road,ミスプロ系,米国型ミスプロ系,
テイエムオペラオー,サドラーズウェルズ系,欧州型ノーザンダンサー系,
ガルボ,Lサンデー系,日本型サンデー系,
Not For Sale,グレイソヴリン系,米国型ナスルーラ系,
Manduro,スターリング系,欧州型（その他）,
Deputy Minister,ヴァイスリージェント系,米国型ノーザンダンサー系,
Mizzen Mast,グレイソヴリン系,米国型ナスルーラ系,
ゼンノエルシド,ニジンスキー系,欧州型ノーザンダンサー系,
ロードアルティマ,ミスプロ系,米国型ミスプロ系,
リンドシェーバー,レイズアネイティヴ系,米国型（その他）,
Woodman,ミスプロ系,米国型ミスプロ系,
フォーティナイナーズサン,フォーティーナイナー系,米国型ミスプロ系,
サマーバード,ミスプロ系,米国型ミスプロ系,
タヤスツヨシ,Dサンデー系,日本型サンデー系,
Dubai Destination,キングマンボ系,欧州型ミスプロ系,
Henrythenavigator,キングマンボ系,欧州型ミスプロ系,
Rainbow Quest,レッドゴッド系,欧州型ナスルーラ系,
Holy Roman Emperor,ダンチヒ系,欧州型ノーザンダンサー系,
シビルウォー,ミスプロ系,米国型ミスプロ系,
Accelerate,ミスプロ系,米国型ミスプロ系,
Acclamation,ノーザンダンサー系,欧州型ノーザンダンサー系,
Adlerflug,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Air Force Blue,ダンチヒ系,米国型ノーザンダンサー系,
Al Wukair,マイナー系,欧州型（その他）,
Almanzor,ミスプロ系,欧州型ミスプロ系,
Always Dreaming,ミスプロ系,米国型ミスプロ系,
American Freedom,エーピーインディ系,米国型ナスルーラ系,
Animal Kingdom,レッドゴッド系,欧州型ナスルーラ系,
Archarcharch,ロベルト系,米国型（その他）,
Army Mule,エーピーインディ系,米国型ナスルーラ系,
Arrogate,ミスプロ系,米国型ミスプロ系,
Australia,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Authentic,ストームバード系,米国型ノーザンダンサー系,
Authorized,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Bated Breath,ダンチヒ系,欧州型ノーザンダンサー系,
Bayern,ニアークティック系,米国型（その他）,
Belardo,ストームバード系,欧州型ノーザンダンサー系,
Blame,ロベルト系,米国型（その他）,
Blue Point,ストームバード系,欧州型ノーザンダンサー系,
Bobby's Kitten,サドラーズウェルズ系,米国型ノーザンダンサー系,
Bodemeister,ミスプロ系,米国型ミスプロ系,
Bolt d'Oro,サドラーズウェルズ系,米国型ノーザンダンサー系,
Brazen Beau,ダンチヒ系,欧州型ノーザンダンサー系,
Bullet Train,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Cairo Prince,ミスプロ系,米国型ミスプロ系,
Cajun Breeze,エーピーインディ系,米国型ナスルーラ系,
California Chrome,エーピーインディ系,米国型ナスルーラ系,
Camelot,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Canford Cliffs,ターントウ系,欧州型（その他）,
Cape Blanco,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Capitalist,ノーザンダンサー系,欧州型ノーザンダンサー系,
Caravaggio,ストームバード系,米国型ノーザンダンサー系,
Carpe Diem,ストームバード系,米国型ノーザンダンサー系,
Catalina Cruiser,ノーザンダンサー系,米国型ノーザンダンサー系,
Catholic Boy,ヘイロー系,米国型（その他）,
Central Banker,ミスプロ系,米国型ミスプロ系,
Champs Elysees,ダンチヒ系,欧州型ノーザンダンサー系,
Churchill,サドラーズウェルズ系,欧州型ノーザンダンサー系,
City of Light,ミスプロ系,米国型ミスプロ系,
Classic Empire,ミスプロ系,米国型ミスプロ系,
Cloud Computing,ミスプロ系,米国型ミスプロ系,
Collected,ミスプロ系,米国型ミスプロ系,
Competitive Edge,レイズアネイティヴ系,米国型（その他）,
Complexity,ミスプロ系,米国型ミスプロ系,
Connect,ミスプロ系,米国型ミスプロ系,
Constitution,エーピーインディ系,米国型ナスルーラ系,
Cracksman,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Creative Cause,ストームバード系,米国型ノーザンダンサー系,
Daaher,ヴァイスリージェント系,米国型ノーザンダンサー系,
Daiwa Major,サンデー系,日本型サンデー系,
Dandy Man,ダンチヒ系,欧州型ノーザンダンサー系,
Danon Ballade,ディープ系,日本型サンデー系,
Dawn Approach,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Declaration of War,ダンチヒ系,米国型ノーザンダンサー系,
Deep Field,ノーザンダンサー系,欧州型ノーザンダンサー系,
Deep Impact,ディープ系,日本型サンデー系,
Dialed In,エーピーインディ系,米国型ナスルーラ系,
Disco Partner,ノーザンダンサー系,米国型ノーザンダンサー系,
Discreet Cat,ストームバード系,米国型ノーザンダンサー系,
Dundeel,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Dunkirk,ミスプロ系,米国型ミスプロ系,
Dutch Art,ミスプロ系,欧州型ミスプロ系,
Earthlight,ストームバード系,欧州型ノーザンダンサー系,
Elusive City,ミスプロ系,欧州型ミスプロ系,
Emcee,ミスプロ系,米国型ミスプロ系,
Encosta De Lago,ノーザンダンサー系,欧州型ノーザンダンサー系,
English Channel,ミスプロ系,米国型ミスプロ系,
Exaggerator,ミスプロ系,米国型ミスプロ系,
Exceedance,ダンチヒ系,欧州型ノーザンダンサー系,
Farhh,ヌレイエフ系,欧州型ノーザンダンサー系,
Farnan,ダンチヒ系,欧州型ノーザンダンサー系,
Fast Company,ダンチヒ系,欧州型ノーザンダンサー系,
Fed Biz,ストームバード系,米国型ノーザンダンサー系,
First Samurai,ストームバード系,米国型ノーザンダンサー系,
Flatter,エーピーインディ系,米国型ナスルーラ系,
Fort Larned,ミスプロ系,米国型ミスプロ系,
Free Drop Billy,ノーザンダンサー系,米国型ノーザンダンサー系,
Free Eagle,サドラーズウェルズ系,欧州型ノーザンダンサー系,
Frosted,エーピーインディ系,米国型（その他）,
Game Winner,ミスプロ系,米国型ミスプロ系,
Garswood,ミスプロ系,欧州型ミスプロ系,
